NCT_ID,Arm,Population,intervention,RCT_with_control_inter,gender_male_percent,age_median,no_smoker_percent,ecog_1,brain_metastase_yes,disease_stage_recurrent,disease_stage_III,disease_stage_IV,EGFR_wild,EGFR_positive_mutation,PFS_median_months,PFS_median_CI,CI,need_to_be_dropped,First-in-Class,Next-Generation,EGFR_TKI,Platinum_Chemotherapy,Anti_VEGF,PD1_PDL1_Inhibitor,Antimetabolite,Taxane,Antibody,Placebo_Supportive-Care,Chemotherapy,Targeted_Therapy,Immunotherapy,Anti-angiogenic_Other,subgroup (Y/N),Subgroup characteristics,is_arm_control,combo_therapy,egfr_targeted,egfr_tki_use,high_risk_profile,novelty_score,elderly_male,large_trial,treatment_complexity,smoker_percent
NCT04194203,Intervention,152,atezolizumab + bevacizumab + platinum-based chemo,1.0,59.2,61.0,53.9,82.2,8.6,0.0,0.0,100.0,47.0,46.0,9.5,"[7.6,10.6]",,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,0,1,0.0,0.0,1,2.0,0,0,3.0,46.1
NCT04194203,Control,153,placebo + bevacizumab + platinum-based chemo,1.0,59.5,61.0,49.0,79.7,3.1,0.0,0.0,100.0,53.0,54.0,7.1,"[6.9,9.5]",,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,1,1,0.0,0.0,1,0.0,0,0,2.0,51.0
NCT04538664,Intervention,153,Amivantamab + platinum-based chemo,1.0,44.0,61.0,58.0,65.0,23.0,0.0,0.0,100.0,0.0,100.0,11.4,"[9.8,13.7]",,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,0,1,100.0,0.0,1,2.0,0,0,1.0,42.0
NCT04538664,Control,155,placebo + platinum-based chemo,1.0,40.0,62.0,59.0,65.0,23.0,0.0,0.0,100.0,0.0,100.0,6.7,"[5.6,7.3]",,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1,0,0.0,0.0,1,0.0,0,0,0.0,41.0
NCT04736823,Intervention,19,AK112 + platinum-based chemotherapy (carboplatin + pemetrexed),0.0,31.6,60.2,78.9,73.7,36.8,0.0,0.0,100.0,0.0,100.0,8.5,"[5.5,999]",,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,0,1,0.0,0.0,1,1.0,0,0,4.0,21.099999999999994
NCT04736823,Intervention,20,AK112 + docetaxel,0.0,80.0,60.0,25.0,95.0,5.0,0.0,15.0,85.0,0.0,0.0,7.5,"[2.3,999]",,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,0,1,0.0,0.0,1,1.0,0,0,4.0,75.0
NCT04988295,Control,263,platinum-based chemothrapy (carboplatin + pemetrezed),1.0,40.0,62.0,64.0,62.0,46.0,0.0,0.0,100.0,0.0,100.0,4.2,"[4.0,4.4]",,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1,0,0.0,0.0,1,0.0,0,1,1.0,36.0
NCT04988295,Intervention,131,Amivantamab + platinum-based chemo,1.0,38.0,62.0,69.0,58.0,44.0,0.0,0.0,100.0,0.0,100.0,6.3,"[5.6,8.4]",,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,0,1,100.0,0.0,1,1.0,0,0,1.0,31.0
NCT04988295,Intervention,263,Amivantamab + lazertinib +  platinum-based chemo,1.0,36.0,61.0,67.0,65.0,46.0,0.0,0.0,100.0,0.0,100.0,8.3,"[6.8,9.1]",,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,0,1,100.0,100.0,1,1.0,0,1,2.0,33.0
NCT02142738,Intervention,154,Pembrolizumab ,1.0,59.7,64.5,3.2,64.3,11.7,0.0,0.0,100.0,0.0,0.0,7.7,"[6.1,10.2]",,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0,0,0.0,0.0,1,1.0,0,0,1.0,96.8
NCT02142738,Control,151,platinum + pemetrexed or gemcitabine or paclitaxel,1.0,62.9,66.0,12.6,64.9,6.6,0.0,0.0,100.0,0.0,0.0,5.5,"[4.2,6.2]",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1,0,0.0,0.0,1,0.0,1,0,2.0,87.4
NCT02041533,Intervention,211,Nivolumab,1.0,68.0,63.0,11.0,68.0,12.0,6.0,0.0,94.0,0.0,0.0,4.2,"[3.0,5.6]",,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,PD-L1 expression level >= 5%,0,0,0.0,0.0,1,1.0,1,1,1.0,89.0
NCT02041533,Control,212,platinum-based doublet chemotherapy,1.0,55.0,65.0,11.0,64.0,13.0,9.0,0.0,90.0,0.0,0.0,5.9,"[5.4,6.9]",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PD-L1 expression level >= 5%,1,0,0.0,0.0,1,0.0,0,1,2.0,89.0
NCT02657434,Intervention,292,atezolizumab +cisplatin or carboplatin +pemetrexed (APP) ,1.0,65.8,64.0,12.7,56.8,,0.0,0.0,100.0,0.0,0.7,7.6,"[6.6,8.5]",,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0,1,0.0,0.0,1,1.0,1,1,2.0,87.3
NCT02657434,Control,286,cisplatin or carboplatin + pemetrexed (PP),1.0,67.1,63.0,1.5,59.9,,0.0,0.0,100.0,0.0,1.7,5.2,"[4.3,5.6]",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1,0,0.0,0.0,1,0.0,1,1,1.0,98.5
NCT02367781,Intervention,451,Atezolizumab + carboplatin +nab-paclitaxel,1.0,59.0,64.0,11.0,58.0,,,,,100.0,0.0,7.0,"[6.3,7.3]",,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0,1,0.0,0.0,0,1.0,0,1,2.0,89.0
NCT02367781,Control,228,carboplatin +nab-paclitaxel,1.0,59.0,65.0,7.0,60.0,,,,,100.0,0.0,5.5,"[4.5,5.9]",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1,0,0.0,0.0,0,0.0,0,1,1.0,93.0
NCT03134872,Intervention,,Camrelizumab + carboplatin and pemetrexed,1.0,75.0,,38.0,77.0,5.0,,,,0.0,,11.0,"[8.5,12.5]",,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0,1,,,1,1.0,0,0,2.0,62.0
NCT03134872,Control,,carboplatin and pemetrexed,1.0,72.0,,37.0,83.0,3.0,,,,0.0,,6.5,"[5.5,7.2]",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1,0,,,1,0.0,0,0,1.0,63.0
NCT03629925,Intervention,179,sintilimab + platinum + gemcitabine,1.0,91.1,64.0,13.4,83.2,,0.0,21.8,78.2,0.0,,5.5,"[4.9,6.8]",,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0,1,,,1,1.0,1,1,2.0,86.6
NCT03629925,Control,178, platinum + gemcitabine,1.0,92.1,62.0,17.4,87.6,,0.0,24.7,75.3,0.0,,4.9,"[4.8,5.0]",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1,0,,,1,0.0,1,1,1.0,82.6
NCT03117049,Intervention,273,nivolumab + carboplatin+ paclitaxel + bevacizumab,1.0,74.5,66.0,22.2,53.1,13.1,7.6,5.5,86.9,0.0,,12.1,"[9.8,14]",96.37,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0,1,,,1,1.0,1,1,3.0,77.8
NCT03117049,Control,275,carboplatin+ paclitaxel + bevacizumab,1.0,74.9,66.0,19.6,53.5,14.9,8.4,5.1,86.5,0.0,,8.1,"[7.0,8.5]",,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,1,1,,,1,0.0,1,1,2.0,80.4
NCT03663205,Intervention,222,tislelizumab + platinum + pemetrexed,1.0,75.3,60.0,34.1,75.8,4.9,,17.9,82.1,97.8,2.2,9.7,"[7.7,11.5]",,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0,1,0.0,0.0,1,1.0,0,1,2.0,65.9
NCT03663205,Control,110,platinum + pemetrexed,1.0,71.2,61.0,40.5,78.4,6.3,,18.9,81.1,98.2,1.8,7.6,"[5.6,8.0]",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1,0,0.0,0.0,1,0.0,1,0,1.0,59.5
NCT04194203,Intervention,152,atezolizumab + bevacizumab + platinum-based chemo,1.0,59.2,61.0,53.9,82.2,8.6,0.0,0.0,100.0,47.0,46.0,9.5,"[7.6,10.6]",,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0,1,0.0,0.0,1,2.0,0,0,3.0,46.1
NCT04194203,Control,153,placebo + bevacizumab + platinum-based chemo,1.0,59.5,61.0,49.0,79.7,3.1,0.0,0.0,100.0,53.0,54.0,7.1,"[6.9,9.5]",,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1,1,0.0,0.0,1,0.0,0,0,2.0,51.0
NCT03829332,Intervention,309,lenvatinib + pembrolizumab,1.0,74.4,66.0,17.5,64.4,6.1,,,,0.0,,6.6,"[6.1,8.2]",,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,PDL1 Tumor Proportion Score >= 1%,0,1,,,1,1.0,1,1,2.0,82.5
NCT03829332,Control,314,Pembrolizumab ,1.0,71.3,66.0,21.3,65.6,13.4,,,,0.0,,4.2,"[4.1,6.2]",,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PDL1 Tumor Proportion Score >= 1%,1,0,,,1,1.0,1,1,1.0,78.7
NCT03829319,Intervention,375,lenvatinib + pembrolizumab + pemetrexed + carboplatin,1.0,,,,,,,,,0.0,,12.1,"[10.4,14.1]",,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0,1,,,0,1.0,0,1,4.0,
NCT03829319,Control,373,Pembrolizumab + carboplatin + pemetrexed,1.0,,,,,,,,,0.0,,9.5,"[8.3,10.7]",,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,1,1,,,0,1.0,0,1,3.0,
NCT03594747,Intervention,120,Tislelizumab + paclitaxel + carboplatin,1.0,89.2,60.0,20.0,74.2,1.7,0.0,31.7,68.3,0.0,,7.6,"[6.0,9.8]",,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,0,1,,,1,1.0,0,0,3.0,80.0
NCT03594747,Intervention,119,Tislelizumab + nab-paclitaxel + carboplatin,1.0,94.1,63.0,10.1,81.5,2.5,0.0,33.6,66.4,0.0,,7.6,"[5.8,11.0]",,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,0,1,,,1,1.0,1,0,3.0,89.9
NCT03594747,Control,121,paclitaxel + carboplatin,1.0,91.7,62.0,19.0,73.6,0.8,0.0,36.4,63.6,0.0,,5.5,"[4.2,5.7]",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1,0,,,1,0.0,1,0,1.0,81.0
NCT02477826,Intervention,396,Nivolumab + ipilimumab,1.0,64.4,64.0,14.1,65.7,10.4,,,,0.0,,5.1,"[4.1,6.3]",,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PD-L1 expression level >= 1% ,0,0,,,1,1.0,1,1,1.0,85.9
NCT02477826,Intervention,396,nivolumab,1.0,68.7,64.0,12.6,63.6,10.6,,,,0.0,,4.2,"[3.0,5.3]",,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PD-L1 expression level >= 1% ,0,0,,,1,1.0,1,1,1.0,87.4
NCT02477826,Control,397,platinum doublet therapy,1.0,65.6,64.0,12.8,65.2,10.1,,,,0.0,,5.6,"[4.6,5.8]",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,PD-L1 expression level >= 1% ,1,0,,,1,0.0,1,1,2.0,87.2
NCT03866993,Intervention,175,Penpulimab + carboplatin + paclitaxel,1.0,,,,,,,,,0.0,,7.6,"[6.8,9.6]",,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,0,1,,,0,1.0,0,0,3.0,
NCT03866993,Control,175,Carboplatin + paclitaxel,1.0,,,,,,,,,0.0,,4.2,"[4.2,4.3]",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,1,0,,,0,0.0,0,0,2.0,
NCT02775435,Intervention,278,Pembrolizumab + carboplatin + (nab-)paclitaxel ,1.0,79.1,65.0,7.9,73.7,7.2,,,,0.0,,6.4,"[6.2,8.3]",,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0,1,,,1,1.0,1,1,2.0,92.1
NCT02775435,Control,281,Carboplatin + (nab-)paclitaxel ,1.0,83.6,65.0,6.8,68.0,8.5,,,,0.0,,4.8,"[4.3,5.7]",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1,0,,,1,0.0,1,1,1.0,93.2
NCT02775435,Intervention,103,Pembrolizumab + carboplatin + (nab-)paclitaxel ,1.0,,,,,,,,,0.0,,7.2,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,PD-L1 Tumor proportion score 1-49%,0,1,,,0,1.0,0,0,2.0,
NCT02775435,Control,104,Carboplatin + (nab-)paclitaxel ,1.0,,,,,,,,,0.0,,5.2,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,PD-L1 Tumor proportion score 1-49%,1,0,,,0,0.0,0,0,1.0,
NCT03875092,Intervention,65,Pembrolizumab + carboplatin + (nab-)paclitaxel ,1.0,95.4,63.0,7.7,69.2,1.5,,,,0.0,,8.3,"[6.2,10.5]",,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0,1,,,1,1.0,1,0,2.0,92.3
The KEYNOTE-407 China extension study (NCT03875092) was identical to the global KEYNOTE-407 study with the exception that it included only patients enrolled in mainland China after enrollment in the global study was completed.,Control,60,Carboplatin + (nab-)paclitaxel ,1.0,95.0,63.0,10.0,81.7,5.0,,,,0.0,,4.2,"[4.0,5.4]",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1,0,,,1,0.0,1,0,1.0,90.0
NCT03728556,Intervention,255,Sugemalimab,1.0,,,,,,,,,0.0,,9.0,"[8.1,14.1]",,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0,0,,,0,1.0,0,1,2.0,
NCT03728556,Control,126,Placebo,1.0,,,,,,,,,0.0,,5.8,"[4.2,6.6]",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1,0,,,0,0.0,0,0,1.0,
