rct_id,Arm,to keep,Iteration,Pubmed Link,Downloaded Paper Link,Total Population,arm_n,intervention,existing?,subgroup (Y/N),Subgroup characteristics,First-in-Class,Next-Generation,EGFR_TKI,Platinum_Chemotherapy,Anti_VEGF,PD1_PDL1_Inhibitor,Antimetabolite,Taxane,Antibody,Placebo_Supportive-Care,Chemotherapy,Targeted_Therapy,Immunotherapy,Anti-angiogenic_Other,RCT_with_control_inter,gender_male_percent,age_median,age_mean,age_clean,no_smoker_percent,ecog_1,brain_metastase_yes,disease_stage_recurrent,disease_stage_III,disease_stage_IV,EGFR_wild,EGFR_positive_mutation,PFS_median_months,PFS_median_CI,CI,need_to_be_dropped,NOTES,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,100,is_target_trial
NCT03117049,Intervention,1.0,2025-05-29,https://pubmed.ncbi.nlm.nih.gov/34139272/,,550.0,273,nivolumab + carboplatin+ paclitaxel + bevacizumab,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,74.5,66.0,,,22.2,53.1,13.1,7.6,5.5,86.9,,,12.1,"[9.8,14]",96.37,0.0,disease_stage_III: 5.5 (Stage IIIB),,,,,,,,,0
,Control,1.0,2025-05-29,,,,275,carboplatin+ paclitaxel + bevacizumab,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,74.9,66.0,,,19.6,53.5,14.9,8.4,5.1,86.5,,,8.1,"[7.0,8.5]",,0.0,,,,,,,,,,0
NCT03302234,Intervention,1.0,2025-05-29,https://pubmed.ncbi.nlm.nih.gov/33513313/,,568.0,284,Pembrolizumab + ipilimumab,0.0,1.0,PD-L1 tumor proportion score ≥ 50%,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,71.1,64.0,,,10.2,64.4,10.9,,,,,,8.2,"[6.0,10.5]",,1.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,284,Pembrolizumab + placebo,0.0,1.0,PD-L1 tumor proportion score ≥ 50%,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,67.3,65.0,,,8.8,63.4,10.2,,,,,,8.4,"[6.3,10.5]",,1.0,,,,,,,,,,0
NCT02578680,Intervention,,2025-05-29,,,616.0,405,Pembrolizumab + platinum + pemetrexed,0.0,0.0,,,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,8.8,"[7.6,10.6]",,,,,,,,,,,,1
,Control,,2025-05-29,,,,202,Platinum + pemetrexed,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,4.9,"[6.9,9.5]",,,,,,,,,,,,0
,Intervention,,,,,,127,Pembrolizumab + platinum + pemetrexed,,1.0,PD-L1 Tumour proportion score <=1 % ,,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,6.1,"[6.1,8.2]",,,,,,,,,,,,0
,Control,,,,,,63,Platinum + pemetrexed,,1.0,PD-L1 Tumour proportion score <=1 % ,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,5.1,"[4.1,6.2]",,,,,,,,,,,,0
NCT03663205,Intervention,1.0,2025-05-29,https://pubmed.ncbi.nlm.nih.gov/34033975/,,332.0,222,tislelizumab + platinum + pemetrexed,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,75.3,60.0,,,34.1,75.8,4.9,,17.9,82.1,97.8,2.2,9.7,"[7.7,11.5]",,0.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,110,platinum + pemetrexed,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,71.2,61.0,,,40.5,78.4,6.3,,18.9,81.1,98.2,1.8,7.6,"[5.6,8.0]",,0.0,,,,,,,,,,0
NCT04194203,Intervention,1.0,2025-05-29,https://pubmed.ncbi.nlm.nih.gov/40379995/,,305.0,152,atezolizumab + bevacizumab + platinum-based chemo,2.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,59.2,61.0,,,53.9,82.2,8.6,0.0,0.0,100.0,47.0,46.0,9.5,"[7.6,10.6]",,0.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,153,placebo + bevacizumab + platinum-based chemo,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,59.5,61.0,,,49.0,79.7,3.1,0.0,0.0,100.0,53.0,54.0,7.1,"[6.9,9.5]",,0.0,,,,,,,,,,0
NCT03829332,Intervention,1.0,2025-05-29,https://linkinghub.elsevier.com/retrieve/pii/S1556-0864(23)02432-2,,623.0,309,lenvatinib + pembrolizumab,0.0,1.0,PDL1 Tumor Proportion Score >= 1%,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,74.4,66.0,,,17.5,64.4,6.1,,,,,,6.6,"[6.1,8.2]",,0.0,44 patients received subsequent therapy at time of data cut off,,,,,,,,,0
,Control,1.0,2025-05-29,,,,314,Pembrolizumab ,0.0,1.0,PDL1 Tumor Proportion Score >= 1%,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,71.3,66.0,,,21.3,65.6,13.4,,,,,,4.2,"[4.1,6.2]",,0.0,88 patients received subsequent therapy at time of data cut off,,,,,,,,,0
NCT03829319,Intervention,1.0,2025-05-29,https://pubmed.ncbi.nlm.nih.gov/40419140/,,748.0,375,lenvatinib + pembrolizumab + pemetrexed + carboplatin,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,12.1,"[10.4,14.1]",,0.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,373,Pembrolizumab + carboplatin + pemetrexed,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,9.5,"[8.3,10.7]",,0.0,,,,,,,,,,0
NCT02576574,Intervention,1.0,2025-05-29,https://www.jto.org/article/S1556-0864(23)02250-5/fulltext,,1214.0,151,Avelumab (every 2 week),0.0,1.0,PD-L1+ tumors (≥80% of tumor cells),0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,74.2,64.0,,,11.3,68.9,6.6,0.0,0.7,99.3,,,8.4,"[5.4,12.6]",,1.0,,,,,,,,,,0
,Control,1.0,,,,,216,Platinum based doublet chemo ,,1.0,PD-L1+ tumors (≥80% of tumor cells),0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,73.1,63.0,,,13.9,67.1,9.7,0.0,0.5,99.5,,,5.6,"[5.4,6.8]",,1.0,,,,,,,,,,0
,Intervention,1.0,,,,,130,Avelumab (once weekly),,1.0,PD-L1+ tumors (≥80% of tumor cells),0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,76.9,64.0,,,13.8,66.2,6.9,0.0,0.0,100.0,,,7.5,"[4.2,11.1]",,1.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,129,Platinum based doublet chemo ,0.0,1.0,PD-L1+ tumors (≥80% of tumor cells),0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,72.1,64.0,,,15.5,64.3,9.3,0.0,0.0,100.0,,,5.6,"[5.0,6.8]",,1.0,,,,,,,,,,0
NCT03594747,Intervention,1.0,2025-05-29,https://jamanetwork.com/journals/jamaoncology/fullarticle/2777901,,360.0,120,Tislelizumab + paclitaxel + carboplatin,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,89.2,60.0,,,20.0,74.2,1.7,0.0,31.7,68.3,,,7.6,"[6.0,9.8]",,0.0,,,,,,,,,,0
,Intervention,1.0,,,,,119,Tislelizumab + nab-paclitaxel + carboplatin,,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,94.1,63.0,,,10.1,81.5,2.5,0.0,33.6,66.4,,,7.6,"[5.8,11.0]",,0.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,121,paclitaxel + carboplatin,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,91.7,62.0,,,19.0,73.6,0.8,0.0,36.4,63.6,,,5.5,"[4.2,5.7]",,0.0,,,,,,,,,,0
NCT02477826,Intervention,1.0,2025-05-29,https://www.jto.org/article/S1556-0864(21)03207-X/fulltext,,2748.0,396,Nivolumab + ipilimumab,0.0,1.0,PD-L1 expression level >= 1% ,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,64.4,64.0,,,14.1,65.7,10.4,,,,,,5.1,"[4.1,6.3]",,0.0,,,,,,,,,,0
,Intervention,1.0,2025-05-29,,,,396,nivolumab,,1.0,PD-L1 expression level >= 1% ,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,68.7,64.0,,,12.6,63.6,10.6,,,,,,4.2,"[3.0,5.3]",,0.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,397,platinum doublet therapy,0.0,1.0,PD-L1 expression level >= 1% ,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,65.6,64.0,,,12.8,65.2,10.1,,,,,,5.6,"[4.6,5.8]",,0.0,,,,,,,,,,0
,Intervention,1.0,2025-05-29,,,,205,Nivolumab + ipilimumab,0.0,1.0,PD-L1>=50%,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,6.7,"[4.5,11.1]",,1.0,,,,,,,,,,0
,Intervention,1.0,2025-05-29,,,,214,nivolumab,,1.0,PD-L1>=50%,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,5.6,"[4.2,8.3]",,1.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,192,platinum-doublet chemo,0.0,1.0,PD-L1>=50%,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,5.6,"[4.6,6.6]",,1.0,,,,,,,,,,0
NCT03866993,Intervention,1.0,2025-05-29,https://pubmed.ncbi.nlm.nih.gov/38309287/,,341.0,175,Penpulimab + carboplatin + paclitaxel,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,7.6,"[6.8,9.6]",,0.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,175,Carboplatin + paclitaxel,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,4.2,"[4.2,4.3]",,0.0,,,,,,,,,,0
,Intervention,1.0,2025-05-29,,,,?,Penpulimab + carboplatin + paclitaxel,0.0,1.0,PD-L1 expression level >= 1% ,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,8.1,"[5.7,9.7]",,0.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,?,Carboplatin + paclitaxel,0.0,1.0,PD-L1 expression level >= 1% ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,4.2,"[4.1,4.3]",,0.0,,,,,,,,,,0
NCT02775435,Intervention,1.0,2025-05-29,,https://www.nejm.org/doi/full/10.1056/NEJMoa1810865#ap2,559.0,278,Pembrolizumab + carboplatin + (nab-)paclitaxel ,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,79.1,65.0,,,7.9,73.7,7.2,,,,,,6.4,"[6.2,8.3]",,0.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,281,Carboplatin + (nab-)paclitaxel ,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,83.6,65.0,,,6.8,68.0,8.5,,,,,,4.8,"[4.3,5.7]",,0.0,,,,,,,,,,0
,Intervention,1.0,2025-05-29,,,,95,Pembrolizumab + carboplatin + (nab-)paclitaxel ,0.0,1.0,PD-L1 Tumor proportion score <1%,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,6.3,,,1.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,99,Carboplatin + (nab-)paclitaxel ,0.0,1.0,PD-L1 Tumor proportion score <1%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,5.3,,,1.0,,,,,,,,,,0
,Intervention,1.0,2025-05-29,,,,103,Pembrolizumab + carboplatin + (nab-)paclitaxel ,0.0,1.0,PD-L1 Tumor proportion score 1-49%,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,7.2,,,0.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,104,Carboplatin + (nab-)paclitaxel ,0.0,1.0,PD-L1 Tumor proportion score 1-49%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,5.2,,,0.0,,,,,,,,,,0
,Intervention,1.0,2025-05-29,,,,73,Pembrolizumab + carboplatin + (nab-)paclitaxel ,0.0,1.0,PD-L1 Tumor proportion score ≥50%,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,8.0,,,1.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,73,Carboplatin + (nab-)paclitaxel ,0.0,1.0,PD-L1 Tumor proportion score ≥50%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,4.2,,,1.0,,,,,,,,,,0
NCT03875092,Intervention,1.0,2025-05-29,https://pubmed.ncbi.nlm.nih.gov/34661177/,,125.0,65,Pembrolizumab + carboplatin + (nab-)paclitaxel ,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,95.4,63.0,,,7.7,69.2,1.5,,,,,,8.3,"[6.2,10.5]",,0.0,,,,,,,,,,0
The KEYNOTE-407 China extension study (NCT03875092) was identical to the global KEYNOTE-407 study with the exception that it included only patients enrolled in mainland China after enrollment in the global study was completed.,Control,1.0,2025-05-29,,,,60,Carboplatin + (nab-)paclitaxel ,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,95.0,63.0,,,10.0,81.7,5.0,,,,,,4.2,"[4.0,5.4]",,0.0,,,,,,,,,,0
NCT02367794,Intervention,,2025-05-29,,,1021.0,338,atezolizumab+carboplatin+paclitaxel,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Intervention,,2025-05-29,,,,343,atezolizumab+carboplatin+ nab-paclitaxel,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,0
,Control,,2025-05-29,,,,340,carboplatin+ nab-paclitaxel,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,0
NCT03728556,Intervention,1.0,2025-05-29,https://pubmed.ncbi.nlm.nih.gov/35038429/,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(21)00630-6/abstract,381.0,255,Sugemalimab,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,9.0,"[8.1,14.1]",,0.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,126,Placebo,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,5.8,"[4.2,6.6]",,0.0,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NCT04026412,Intervention,,2025-05-29,https://pubmed.ncbi.nlm.nih.gov/34489161/,Results NA,925.0,,Nivolumab + chemoradio therapy + ipilimumab,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Results NA,Intervention,,,,Results NA,,,Nivolumab + chemoradio therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Control,,2025-05-29,,Results NA,,,Chemoradiotherapy + durvalumab,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NCT03631706,Intervention,,2025-05-29,https://www.jto.org/article/S1556-0864(23)00738-4/fulltext,,304.0,,bintrafusp alfa,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
TGF-PDL1 bifunctional fusion protein,Control,,2025-05-29,,,,,Pembrolizumab ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NCT02848651,Intervention,,2025-05-29,,,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"No control arm, biomarker testing study",Control,,2025-05-29,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NCT02027428,Intervention,,2025-05-29,,,427.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
evaluating efficacy of nab-paclitaxel,Control,,2025-05-29,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NCT05014815,Intervention,,2025-05-29,,,272.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Results NA,Control,,2025-05-29,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
